"Term","Categorie","Uitleg"
"A/B-test","Adverteren","Twee versies naast elkaar uitproberen om te zien welke beter werkt."
"Above the fold","Website en conversie","Het deel van de pagina dat je ziet zonder te scrollen. Het belangrijkste plekje."
"Account-based marketing","Klanten en doelgroep","Je marketing volledig richten op een paar specifieke, waardevolle bedrijven in plaats van op een brede groep (ABM)."
"Affiliate marketing","Adverteren","Anderen jouw product laten aanbevelen tegen een vergoeding per verkoop of lead."
"AI","AI","Computertechniek die taken doet waar normaal een mens voor nodig is, zoals tekst schrijven of beeld maken (kunstmatige intelligentie)."
"AI Overview","Gevonden worden","Het samengevatte antwoord dat Google bovenaan toont, opgesteld door AI."
"AIDA","Algemeen","Een klassiek model voor vier stappen: aandacht, interesse, verlangen en actie."
"Algoritme","Social media","De rekenregels waarmee een platform bepaalt wat het aan wie laat zien."
"Alt-tekst","Gevonden worden","Een korte beschrijving bij een afbeelding, zodat Google en slechtzienden weten wat erop staat."
"Ambassadeur","Klanten en doelgroep","Een tevreden klant die je uit zichzelf aanbeveelt bij anderen."
"ASO","Gevonden worden","Zorgen dat je app goed gevonden wordt in de app store (app store optimization)."
"Attributie","Adverteren","Bepalen welke advertentie of welk kanaal de eer krijgt voor een verkoop."
"Attributiemodel","Adverteren","De regels waarmee je die eer verdeelt over de verschillende contactmomenten."
"Automation","E-mail","Mails die automatisch verstuurd worden op het juiste moment, bijvoorbeeld een welkomstmail."
"AVG","E-mail","De Europese privacywet die regelt hoe je met persoonsgegevens omgaat (in het Engels GDPR)."
"Awareness","Klanten en doelgroep","De fase waarin mensen je net ontdekken en je naam leren kennen (naamsbekendheid)."
"B2B","Klanten en doelgroep","Je verkoopt aan andere bedrijven (business to business)."
"B2C","Klanten en doelgroep","Je verkoopt aan consumenten (business to consumer)."
"Backlink","Gevonden worden","Een link van een andere website naar die van jou. Google ziet dat als een aanbeveling."
"Benchmark","Algemeen","Een vergelijkingspunt voor je cijfers, bijvoorbeeld het gemiddelde in jouw branche."
"Bereik","Adverteren","Het aantal verschillende mensen dat je advertentie heeft gezien (reach)."
"Betaald verkeer","Gevonden worden","Bezoekers die via een advertentie op je site komen waar je voor betaalt."
"Blog","Content","Artikelen op je site die bezoekers helpen en je beter vindbaar maken in Google."
"Bod","Adverteren","Wat je maximaal wil betalen voor een klik of vertoning. Vaak regelt het systeem dit automatisch (bidding)."
"Boosten","Social media","Een bestaande post tegen betaling aan meer mensen tonen."
"Bounce (e-mail)","E-mail","Het deel van je mails dat niet aankomt, bijvoorbeeld door een fout adres."
"Bounce rate (site)","Website en conversie","Het percentage bezoekers dat meteen weer weggaat zonder iets te doen."
"Branding","Algemeen","Het gevoel en beeld dat mensen bij je bedrijf hebben: je naam, logo, kleuren en hoe je overkomt."
"Break-even ROAS","Adverteren","De ROAS die je minimaal nodig hebt om quitte te spelen, zonder winst of verlies."
"Budget","Adverteren","Het bedrag dat je per dag of per maand aan advertenties wil uitgeven."
"CAC","Klanten en doelgroep","Wat het je gemiddeld kost om een nieuwe klant binnen te halen (kosten per klant)."
"Carousel","Social media","Een post waar je doorheen kunt swipen, met meerdere beelden of slides."
"Checkout","Website en conversie","Het afrekenproces in een webshop, van mandje tot betaling."
"Churn","Klanten en doelgroep","Het deel van je klanten dat afhaakt of opzegt in een bepaalde periode (klantverloop)."
"Click rate","E-mail","Het percentage ontvangers dat op een link in je mail klikt (klikratio)."
"Click-to-open rate","E-mail","Van de mensen die je mail openden, het percentage dat ook klikte (CTOR)."
"Cohort","Meten en data","Een groep mensen die iets gemeen heeft, bijvoorbeeld iedereen die in dezelfde maand klant werd."
"Community management","Social media","Reageren op berichten en reacties, en contact onderhouden met je volgers."
"Consideration","Klanten en doelgroep","De fase waarin iemand je overweegt en met anderen vergelijkt (overwegingsfase)."
"Content marketing","Content","Klanten aantrekken met nuttige of leuke content in plaats van directe reclame."
"Contentkalender","Content","Een planning van wat je wanneer plaatst."
"Conversie","Klanten en doelgroep","Het moment dat een bezoeker doet wat jij wil, zoals iets kopen of een formulier invullen."
"Conversiedoel","Meten en data","De actie die je als succes telt, bijvoorbeeld een aankoop of aanmelding."
"Conversieratio","Website en conversie","Het percentage bezoekers dat doet wat je wil, zoals kopen of een formulier invullen. Van 100 bezoekers er 3 die kopen is 3 procent (conversion rate)."
"Conversions API","Adverteren","Een manier om resultaten via je server door te geven aan het advertentieplatform, omdat cookies steeds minder werken."
